"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001800US2605","Congressional District 5 (118th Congress), Michigan","546350","3991","6253","1085","74","77","173","234","8","15","41","50","14","26","356","260","334","182","1419","715","712","406","4579","1271","4724","1035","8295","1465","7813","1301","8543","1549","156425","4967","30138","2864","48861","3180","75286","3572","58920","3396","83278","4180","38696","3415","6400","1135","5008","1184",
"5001800US2606","Congressional District 6 (118th Congress), Michigan","524951","6887","7424","1777","0","184","43","71","22","38","0","184","43","72","95","123","166","148","864","485","223","138","1309","587","2285","1347","4807","1316","3571","1155","6077","1291","79936","5404","12507","1773","32513","3216","59694","4938","38921","2833","141263","5791","93815","4522","17447","2179","21926","2392",
"5001800US2607","Congressional District 7 (118th Congress), Michigan","527555","2840","3526","884","188","158","60","98","92","152","0","184","87","102","282","212","398","391","207","107","486","282","1426","459","3224","1117","4062","1062","6771","1521","6586","1232","109645","4036","16088","1685","46256","3066","77198","4221","52494","3141","118955","5101","57423","3349","11644","1517","10457","1585",
"5001800US2608","Congressional District 8 (118th Congress), Michigan","541210","1957","6367","1335","0","184","28","52","0","184","41","12","114","145","408","528","60","93","586","325","372","297","3098","915","2861","889","9373","1665","11565","2344","10417","1710","150558","5085","26774","2357","44444","3472","84764","4919","59772","3780","82099","5244","36581","2913","7170","1492","3758","1035",
"5001800US2609","Congressional District 9 (118th Congress), Michigan","549647","6687","4625","1113","0","184","597","884","0","184","28","50","33","5","169","271","277","309","375","185","756","445","3275","983","2747","881","5376","898","7809","1480","10531","1519","148569","5458","18520","1918","44716","2722","76833","4079","63154","3913","104333","5135","44431","2787","8505","1494","3988","861",
"5001800US2610","Congressional District 10 (118th Congress), Michigan","553764","5716","12298","1848","72","128","190","231","162","259","0","184","419","391","659","478","989","725","2548","1054","491","410","3435","1062","4813","1621","6948","1582","8065","1743","9858","1702","132126","6808","18875","2693","47847","3920","79421","4951","57734","4465","105152","5950","50555","3371","6992","1173","4115","819",
"5001800US2611","Congressional District 11 (118th Congress), Michigan","564018","6158","6673","1472","0","184","0","184","197","296","44","77","133","175","43","70","929","578","1486","949","143","143","2473","887","1878","699","3946","895","5497","1324","6530","1370","86912","5353","11937","2102","35685","2409","73458","4934","42239","3462","165025","6466","84707","4900","22435","2608","11648","1606",
"5001800US2612","Congressional District 12 (118th Congress), Michigan","512909","8393","10593","2095","0","184","0","184","0","184","0","184","154","227","374","315","792","445","1678","769","474","326","2806","898","5800","1507","9130","2037","9340","1792","15933","2301","119778","6438","27401","3783","38278","3819","81738","4865","47913","4012","83284","5425","43911","3509","8024","1295","5508","1428",
"5001800US2613","Congressional District 13 (118th Congress), Michigan","511999","9063","13094","2239","163","257","0","184","123","191","153","225","803","607","1537","681","1802","833","4141","1188","1229","734","4352","1195","7646","1366","12436","1968","15433","2490","14600","2419","126596","8388","30502","3190","39180","4223","83475","4918","39320","3727","71400","5317","31432","3320","8217","1716","4365","1130",
"5001800US2701","Congressional District 1 (118th Congress), Minnesota","484027","2160","7884","1441","88","107","0","157","39","78","134","138","286","237","483","306","778","382","739","501","365","310","3722","947","2328","588","4239","1031","5451","1012","6123","1106","120256","4392","15276","1849","36131","2361","58166","2948","65971","3535","102495","4715","33646","2528","10869","1406","8558","1545",
