"search_key","type","number","congress","effective_date","year","month","bioguide_id","issue"
"[""taiwan"", ""china""]","HAMDT","634","115","22/5/2018","2018","05","T000238","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","635","115","22/5/2018","2018","05","N000127","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","636","115","22/5/2018","2018","05","G000571","Armed Forces"
"[""china"", ""taiwan""]","HAMDT","637","115","22/5/2018","2018","05","A000371","Armed Forces"
"[""taiwan"", ""china""]","HAMDT","638","115","22/5/2018","2018","05","G000559","Armed Forces"
"[""hong kong"", ""china""]","HAMDT","640","115","22/5/2018","2018","05","T000238","National Security"
"[""hong kong"", ""china""]","HAMDT","641","115","22/5/2018","2018","05","T000238","Congressional political operations"
"[""hong kong"", ""china""]","HAMDT","642","115","22/5/2018","2018","05","T000238","Government Operations and Politics"
"[""hong kong"", ""china""]","HAMDT","643","115","22/5/2018","2018","05","T000238","National Security"
"[""china""]","HAMDT","645","115","23/5/2018","2018","05","T000238","National Security"
"[""china""]","HAMDT","646","115","23/5/2018","2018","05","G000558","Foreign Affairs"
"[""china""]","HAMDT","647","115","23/5/2018","2018","05","A000369","National Security"
"[""china""]","HAMDT","648","115","23/5/2018","2018","05","M000312","Armed Forces"
"[""china""]","HAMDT","649","115","23/5/2018","2018","05","M001180","National Security"
"[""china""]","HAMDT","650","115","23/5/2018","2018","05","T000478","National Security"
"[""china""]","HAMDT","651","115","23/5/2018","2018","05","E000179","Human Rights"
"[""china""]","HAMDT","652","115","23/5/2018","2018","05","P000598","National Security"
"[""china""]","HAMDT","653","115","23/5/2018","2018","05","G000579","Immigration"
"[""china""]","HAMDT","657","115","24/5/2018","2018","05","T000238","National Security"
"[""china""]","HAMDT","658","115","24/5/2018","2018","05","T000238","National Security"
"[""china""]","HAMDT","659","115","24/5/2018","2018","05","T000238","National Security"
"[""china""]","HAMDT","661","115","6/6/2018","2018","06","S001154","Transportation and Public Works"
"[""china""]","HAMDT","714","115","7/6/2018","2018","06","C001092","Energy"
"[""china""]","HAMDT","715","115","7/6/2018","2018","06","A000374","Energy"
"[""china""]","HAMDT","716","115","7/6/2018","2018","06","K000375","Energy"
"[""china""]","HAMDT","717","115","7/6/2018","2018","06","B001292","Energy"
"[""china""]","HAMDT","718","115","7/6/2018","2018","06","R000599","Energy"
"[""china""]","HAMDT","719","115","7/6/2018","2018","06","L000580","Energy"
"[""china""]","HAMDT","720","115","7/6/2018","2018","06","D000623","Energy"
"[""china""]","HAMDT","721","115","7/6/2018","2018","06","C001068","Energy"
"[""china""]","HAMDT","722","115","7/6/2018","2018","06","K000375","Energy"
"[""china""]","HAMDT","723","115","7/6/2018","2018","06","B001278","Energy"
"[""china""]","HAMDT","724","115","7/6/2018","2018","06","E000293","Energy"
"[""china""]","HAMDT","725","115","7/6/2018","2018","06","T000465","Energy"
"[""china""]","HAMDT","726","115","7/6/2018","2018","06","S001200","Energy"
"[""china""]","HAMDT","727","115","7/6/2018","2018","06","S001200","Energy"
"[""china""]","HAMDT","728","115","7/6/2018","2018","06","W000814","Energy"
"[""china""]","HAMDT","729","115","7/6/2018","2018","06","E000293","Energy"
"[""china""]","HAMDT","730","115","7/6/2018","2018","06","B001292","Energy"
"[""china""]","HAMDT","731","115","7/6/2018","2018","06","S000583","Energy"
"[""china""]","HAMDT","733","115","7/6/2018","2018","06","L000559","Energy"
"[""china""]","HAMDT","734","115","7/6/2018","2018","06","K000390","Energy"
"[""china""]","HAMDT","735","115","7/6/2018","2018","06","G000565","Armed Forces"
"[""china""]","HAMDT","736","115","7/6/2018","2018","06","J000032","National Security"
"[""china""]","HAMDT","737","115","7/6/2018","2018","06","L000551","Armed Forces"
"[""china""]","HAMDT","738","115","7/6/2018","2018","06","C001078","National Security"
"[""china""]","HAMDT","739","115","7/6/2018","2018","06","O000171","Armed Forces"
"[""china""]","HAMDT","740","115","7/6/2018","2018","06","G000565","Armed Forces"
"[""china""]","HAMDT","741","115","7/6/2018","2018","06","K000375","Armed Forces"
"[""china""]","HAMDT","742","115","7/6/2018","2018","06","L000579","National Security"
