rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name,congress,chamber
74,27,73,0.83874583,412556,F000463,NE,,b'Fischer',118,senate
75,26,74,0.8409842,300027,C001056,TX,,b'Cornyn',118,senate
76,25,75,0.852776332,456796,T000278,AL,,b'Tuberville',118,senate
77,24,76,0.854774365,400546,T000250,SD,,b'Thune',118,senate
78,23,77,0.858996074,456875,S001227,MO,,b'Schmitt',118,senate
79,22,78,0.862003623,412494,H001061,ND,,b'Hoeven',118,senate
80,21,79,0.865919102,412840,H001089,MO,,b'Hawley',118,senate
81,20,80,0.873531115,412743,H001079,MS,,b'Hyde-Smith',118,senate
82,19,81,0.878440345,412704,M001198,KS,,b'Marshall',118,senate
83,18,82,0.884922314,412508,C001095,AR,,b'Cotton',118,senate
84,17,83,0.884930014,412549,D000618,MT,,b'Daines',118,senate
85,16,84,0.88602678,412491,R000595,FL,,b'Rubio',118,senate
86,15,85,0.890714791,300030,C000880,ID,,b'Crapo',118,senate
87,14,86,0.891874754,412322,R000584,ID,,b'Risch',118,senate
88,13,87,0.90130305,412555,C001096,ND,,b'Cramer',118,senate
89,12,88,0.907918237,412495,L000577,UT,,b'Lee',118,senate
90,11,89,0.916506148,412251,B001261,WY,,b'Barrasso',118,senate
91,10,90,0.917218063,412839,B001310,IN,,b'Braun',118,senate
92,9,91,0.929788717,456798,H000601,TN,,b'Hagerty',118,senate
93,8,92,0.930543797,456874,B001319,AL,,b'Britt',118,senate
94,7,93,0.940776947,412294,L000571,WY,,b'Lummis',118,senate
