"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001600US3608","Congressional District 8 (116th Congress), New York","573621","5156","13446","1285","347","157","180","112","207","94","478","141","1363","280","1486","375","3371","644","5577","725","2858","493","7478","757","6102","628","9023","920","10448","871","15729","1230","138318","2918","27881","1436","21245","1322","60920","2002","41623","1870","124110","3412","63612","2303","11885","827","5934","688",
"5001600US3609","Congressional District 9 (116th Congress), New York","541510","4518","12943","923","132","53","213","101","224","124","466","177","1343","318","693","222","2944","662","4128","543","2534","478","5862","725","4930","546","6690","777","9151","897","16940","1185","111554","3183","24491","1348","20161","1209","59321","2334","37115","1956","126879","3091","68601","2252","16302","1135","7893","736",
"5001600US3610","Congressional District 10 (116th Congress), New York","545353","6431","14741","1188","121","92","137","70","174","162","540","196","1742","670","1512","605","3131","566","6985","947","1525","543","5437","700","5660","869","4308","595","3212","434","10833","856","68471","2730","9563","1080","13263","1127","33053","1847","20143","1265","174258","4746","107525","3294","40898","2402","18121","1157",
"5001600US3611","Congressional District 11 (116th Congress), New York","534153","3292","15873","1112","285","138","193","87","405","227","597","250","977","283","1194","240","3314","506","6336","762","1987","324","5228","658","5168","591","8130","953","7646","894","13383","972","127572","3189","20993","1267","24256","1415","54036","1902","38189","1517","119794","2896","60153","1913","13222","814","5222","480",
"5001600US3612","Congressional District 12 (116th Congress), New York","585988","7130","6040","757","199","116","113","74","218","198","186","111","553","359","1133","554","1003","247","2880","612","1499","565","3891","759","2878","554","3405","838","2660","446","5015","707","47348","2414","7771","1017","12171","1300","33224","1822","20956","1502","224039","4448","128994","4061","54304","2719","25508","2102",
"5001600US3613","Congressional District 13 (116th Congress), New York","556165","7068","20182","1783","299","128","100","83","791","240","1444","456","4839","770","3045","593","6577","1040","10376","1296","4402","679","15924","1426","11830","1073","14410","1180","17395","1751","16196","1343","99696","3255","24968","1702","19342","1681","67144","3519","32012","1829","107238","3734","56707","2872","12338","1177","8910","910",
"5001600US3614","Congressional District 14 (116th Congress), New York","515321","5576","22738","1467","193","86","165","100","803","222","934","251","2793","426","2760","655","6486","729","16237","1370","3207","538","10442","962","7616","725","9871","1035","8983","982","16064","1221","130195","3561","18414","1363","18220","1111","49441","2040","42170","1897","94047","2710","41323","1979","7410","701","4809","503",
"5001600US3615","Congressional District 15 (116th Congress), New York","469996","4624","27113","1754","254","103","212","135","1017","423","2141","469","3917","659","4312","729","5087","654","11595","1116","4864","752","15188","1385","15187","1494","16441","1348","21493","1757","20795","1295","105843","3433","26917","1552","23329","1477","58556","2114","36177","1928","49763","2010","16123","1298","2614","497","1058","289",
"5001600US3616","Congressional District 16 (116th Congress), New York","536688","4201","10726","1134","184","113","270","154","159","108","812","240","1292","395","1860","492","2219","474","6660","1021","2224","474","6452","726","7866","951","7467","839","9435","921","17561","1326","101367","3056","19134","1343","22708","1408","56686","2484","39070","2122","113758","2692","75353","2883","23592","1217","9833","821",
"5001600US3617","Congressional District 17 (116th Congress), New York","505339","2027","8646","984","176","158","84","65","105","78","564","237","867","187","970","297","2213","548","6898","975","1525","372","4265","673","3327","556","4024","515","4860","623","14174","1186","85732","2127","12612","917","21290","1232","52831","1923","35991","1449","125366","2374","83008","2301","25112","1238","10699","915",
"5001600US3618","Congressional District 18 (116th Congress), New York","499237","1231","7308","853","78","57","104","65","196","144","129","67","559","201","486","171","986","328","2271","511","787","263","3234","426","4563","641","6112","657","6802","630","10281","936","109613","2870","20297","966","28586","1262","60134","1641","47650","1896","104326","2175","65295","2151","11669","762","7771","695",
"5001600US3619","Congressional District 19 (116th Congress), New York","507071","1401","5930","527","87","70","107","87","119","85","143","81","309","113","433","171","365","123","1606","357","1237","270","4124","416","5803","564","8527","683","9492","697","8070","558","131050","2541","25795","1133","28764","1256","56651","1461","57379","1704","87517","2219","54084","1660","11928","839","7551","626",
"5001600US3620","Congressional District 20 (116th Congress), New York","513115","1116","6424","732","190","114","67","55","75","63","101","95","594","228","551","226","835","330","1039","254","869","255","3136","448","3714","515","5899","698","7442","637","7135","580","98972","2262","21175","1140","30241","1280","53506","1882","62607","1820","110826","2171","70983","2025","14533","1044","12201","908",
"5001600US3621","Congressional District 21 (116th Congress), New York","495785","1047","5786","518","97","76","71","45","135","70","102","55","87","40","122","52","411","122","956","251","1892","394","5549","607","7575","721","9692","674","10924","875","7872","617","137678","2345","32184","1347","31962","1212","55853","1536","60637","1601","70483","1792","44248","1612","7146","704","4323","395",
"5001600US3622","Congressional District 22 (116th Congress), New York","476667","811","7593","736","128","73","148","80","134","118","121","58","285","141","302","123","499","166","1171","278","1366","285","4193","440","5663","630","8856","714","8784","609","8484","684","128048","2214","27848","1175","33329","1260","54142","1765","63029","1402","68145","1680","41514","1626","7026","562","5859","604",
"5001600US3623","Congressional District 23 (116th Congress), New York","472799","647","5406","473","48","34","46","38","76","50","142","65","323","165","308","119","358","112","594","149","1034","232","7448","562","4403","391","8742","493","8163","609","7898","495","125658","2046","29620","1197","32431","1146","48276","1505","60631","1562","67965","1484","45504","1399","6544","528","11181","772",
"5001600US3624","Congressional District 24 (116th Congress), New York","494156","510","5995","579","37","27","191","106","119","137","128","76","305","118","195","83","505","158","1218","244","906","202","4640","470","5843","632","8004","604","8908","752","8775","846","114148","2192","25473","1182","32257","1257","55101","1649","63266","1799","88578","1998","52127","1619","10550","728","6887","596",
"5001600US3625","Congressional District 25 (116th Congress), New York","506570","505","7396","745","136","76","132","74","94","54","181","98","342","123","655","157","711","204","1139","313","911","208","3895","567","4612","602","7134","681","9701","1089","9024","719","96629","2204","20363","1286","29848","1455","53279","1903","58858","1928","110577","2652","67113","2017","14032","1071","9808","780",
"5001600US3626","Congressional District 26 (116th Congress), New York","515320","1751","8459","881","120","84","179","120","128","87","139","85","509","219","442","147","682","175","1112","261","1293","289","4249","617","4460","596","6702","629","9566","847","9965","892","115148","3028","22804","1164","31244","1378","65581","2168","59494","2001","98443","2323","54693","1817","11160","851","8748","747",
"5001600US3627","Congressional District 27 (116th Congress), New York","518986","2008","5012","655","120","86","53","53","20","22","79","42","109","65","242","125","289","134","720","233","673","170","2767","407","4272","464","6083","657","6645","576","7748","754","128488","2329","25331","1244","32504","1231","57263","1807","71251","2042","94034","2479","58421","1760","10435","904","6427","699",
