congress,committee_el,issue,total_mentions
117,Committee on Energy and Commerce,"Art, Culture, Religion",590
117,Committee on Foreign Affairs,National Security,578
117,Committee on Appropriations,"science, technology, communications",564
117,Committee on Foreign Affairs,human rights,560
117,Committee on Appropriations,labor and employment,558
117,Committee on Appropriations,National Security,554
117,Committee on Education and the Workforce,"Art, Culture, Religion",536
117,Committee on the Budget,"Art, Culture, Religion",460
117,Committee on Energy and Commerce,law,452
117,Committee on Agriculture,"science, technology, communications",440
117,Committee on Agriculture,labor and employment,430
117,Committee on Financial Services,"science, technology, communications",424
117,Committee on Oversight and Accountability,"Art, Culture, Religion",422
117,Committee on Financial Services,labor and employment,416
117,Committee on Financial Services,education,412
117,Committee on Education and the Workforce,law,410
117,Committee on Agriculture,National Security,406
117,"Committee on Agriculture, Nutrition, and Forestry","Art, Culture, Religion",366
117,Committee on the Budget,law,362
117,Committee on Natural Resources,"Art, Culture, Religion",344
117,Committee on Energy and Commerce,labor and employment,316
117,Committee on Energy and Commerce,"science, technology, communications",316
117,Committee on Transportation and Infrastructure,"Art, Culture, Religion",314
117,Committee on Oversight and Accountability,law,302
117,Committee on Homeland Security,"Art, Culture, Religion",300
117,Committee on Energy and Commerce,education,296
117,"Committee on Agriculture, Nutrition, and Forestry",law,288
117,Committee on Education and the Workforce,labor and employment,270
117,Committee on Natural Resources,law,264
117,Committee on Education and the Workforce,education,256
116,NA,"science, technology, communications",62
117,Committee on Education and the Workforce,National Security,254
117,Committee on Ways and Means,"Art, Culture, Religion",240
117,Committee on the Budget,education,236
117,Committee on the Budget,labor and employment,236
117,Committee on the Budget,National Security,228
117,"Committee on Agriculture, Nutrition, and Forestry",labor and employment,222
117,Committee on Transportation and Infrastructure,law,212
117,"Committee on Commerce, Science, and Transportation","Art, Culture, Religion",208
117,NA,"science, technology, communications",60
117,Committee on Homeland Security,law,206
117,Committee on Natural Resources,labor and employment,206
117,Committee on Oversight and Accountability,labor and employment,204
117,Select Committee on Intelligence,"Art, Culture, Religion",200
117,Committee on Oversight and Accountability,education,194
117,Committee on Ways and Means,law,194
117,"Committee on Agriculture, Nutrition, and Forestry","science, technology, communications",190
117,NA,health,58
117,NA,labor and employment,58
117,Select Committee on the Climate Crisis,"Art, Culture, Religion",184
117,Committee on Natural Resources,education,182
117,Committee on Oversight and Accountability,"science, technology, communications",182
117,"Committee on Agriculture, Nutrition, and Forestry",National Security,176
117,"Committee on Commerce, Science, and Transportation",law,164
117,Joint Economic Committee,"Art, Culture, Religion",162
117,Committee on Natural Resources,"science, technology, communications",160
117,Committee on Ways and Means,labor and employment,158
117,Select Committee on Intelligence,law,152
116,NA,labor and employment,56
117,Committee on Homeland Security,labor and employment,144
117,Committee on Homeland Security,education,142
117,Committee on the Judiciary,"Art, Culture, Religion",142
117,Joint Economic Committee,law,142
117,Select Committee on the Climate Crisis,law,140
117,Committee on Finance,"Art, Culture, Religion",138
117,Committee on Transportation and Infrastructure,education,138
117,Committee on Transportation and Infrastructure,labor and employment,138
117,Committee on Transportation and Infrastructure,"science, technology, communications",138
117,Committee on Homeland Security,"science, technology, communications",128
117,Committee on Foreign Relations,"Art, Culture, Religion",126
117,Committee on Ways and Means,education,124
117,Committee on Ways and Means,"science, technology, communications",118
117,Committee on Finance,law,116
117,Select Committee on the Climate Crisis,education,112
