"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"Rep. Biggs, Andy [R-AZ-5]","116",10.1707,31.9016,25.2427,0.162317024675769,0.151090914222812,0.473914470898803,0.374993129327595,"dom","Republican","house of representatives","Committee on the Judiciary","Male",66,2,0.795228953547654,"5","AZ","B001302"
"Rep. Biggs, Andy [R-AZ-5]","117",10.2067,27.9306,26.3269,0.162905663983871,0.158330308417333,0.433270353030966,0.408393133595803,"dom","Republican","house of representatives","Committee on Oversight and Accountability","Male",66,4,0.736356033609691,"5","AZ","B001302"
"Rep. Biggs, Andy [R-AZ-5]","118",10.6358,31.5333,26.4978,0.165911746965919,0.154890216072711,0.459222592610392,0.385890103936843,"dom","Republican","house of representatives","Committee on Oversight and Accountability","Male",66,6,0.823403860905216,"5","AZ","B001302"
"Rep. Bilirakis, Gus M. [R-FL-12]","115",9.1011,32.1091,27.8858,0.159187834288611,0.131716741924279,0.464702732430242,0.403580525645479,"dom","Republican","house of representatives","Committee on Energy and Commerce","Male",61,10,0.78162563290754,"12","FL","B001257"
"Rep. Bilirakis, Gus M. [R-FL-12]","116",9.7976,32.8023,28.9789,0.150329963859594,0.136878325875363,0.458267729735998,0.404852547328892,"dom","Republican","house of representatives","Committee on Energy and Commerce","Male",61,12,0.793148233690992,"12","FL","B001257"
"Rep. Bilirakis, Gus M. [R-FL-12]","117",12.7887,32.88,32.1026,0.139165952259901,0.164440472669761,0.422779699373803,0.412783685435445,"dom","Republican","house of representatives","Committee on Energy and Commerce","Male",61,14,0.659476749612805,"12","FL","B001257"
"Rep. Bilirakis, Gus M. [R-FL-12]","118",11.7381,33.5095,31.43,0.133228034735058,0.153083022509716,0.437015832442161,0.409895928427972,"dom","Republican","house of representatives","Committee on Energy and Commerce","Male",61,16,0.717390141178362,"12","FL","B001257"
"Rep. Bishop, Dan [R-NC-8]","116",11.0887,32.1713,27.216,0.154150223610841,0.157340533913769,0.456487191347952,0.38617511259184,"dom","Republican","house of representatives",NA,"Male",60,0,0.657032480664954,"9","NC","B001311"
"Rep. Bishop, Dan [R-NC-8]","117",12.7795,28.3308,27.955,0.153934194164652,0.18503610372273,0.410205473402553,0.404764214528653,"dom","Republican","house of representatives","Committee on Homeland Security","Male",60,2,0.70883288977397,"9","NC","B001311"
"Rep. Bishop, Dan [R-NC-8]","118",13.1704,27.261,29.0557,0.15050995862531,0.189538429656323,0.39231968132031,0.418147645520654,"prof","Republican","house of representatives","Committee on the Judiciary","Male",60,4,0.706946918610029,"8","NC","B001311"
"Rep. Bishop, Sanford D. [D-GA-2]","116",14.8104,26.268,27.6922,0.135463378639642,0.215359157315543,0.381964993812772,0.402674394764049,"prof","Democratic","house of representatives","Committee on Appropriations","Male",77,26,0.390667572055546,"2","GA","B000490"
"Rep. Bishop, Sanford D. [D-GA-2]","117",17.1655,25.3943,30.961,0.130877508480831,0.233477192261813,0.345401524188294,0.421117203088637,"prof","Democratic","house of representatives","Committee on Agriculture","Male",77,28,0.277637022763797,"2","GA","B000490"
"Rep. Bishop, Sanford D. [D-GA-2]","118",17.3341,27.0383,32.7147,0.146017788899606,0.224863239470055,0.350749085776775,0.424385080292084,"prof","Democratic","house of representatives","Committee on Agriculture","Male",77,30,0.356366803987379,"2","GA","B000490"
