"member_id","gender","congress","thomas_id_list","thomas_num_list","official_name_list"
"A000360","M","116","[SSAP,SSEG,SSHR,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Energy and Natural Resources"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Rules and Administration""]"
"A000361","M","112","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000362","M","112","[HSED,HSPW]","[00]","[""Committee on Education and the Workforce"",""Committee on Transportation and Infrastructure""]"
"A000365","M","112","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000366","F","112","[HSJU,HSSY]","[00]","[""Committee on Science, Space, and Technology"",""Committee on the Judiciary""]"
"A000367","M","112","[HSBU,HSGO]","[00]","[""Committee on Oversight and Accountability"",""Committee on the Budget""]"
"A000367","M","113","[HSGO,JSEC]","[00]","[""Committee on Oversight and Accountability"",""Joint Economic Committee""]"
"A000367","M","114","[HSGO,JSEC]","[00]","[""Committee on Oversight and Accountability"",""Joint Economic Committee""]"
"A000367","M","115","[HSGO,JSEC]","[00]","[""Committee on Oversight and Accountability"",""Joint Economic Committee""]"
"A000368","F","112","[SSAS,SSBU,SSCM,SSSB]","[00]","[""Committee on Armed Services"",""Committee on Commerce, Science, and Transportation"",""Committee on Small Business and Entrepreneurship"",""Committee on the Budget""]"
"A000368","F","113","[JCSE,SPAG,SSAS,SSBU,SSCM,SSGA]","[00]","[""Commission on Security and Cooperation in Europe"",""Committee on Armed Services"",""Committee on Commerce, Science, and Transportation"",""Committee on Homeland Security and Governmental Affairs"",""Committee on the Budget"",""Special Committee on Aging""]"
"A000368","F","114","[SSAS,SSBU,SSCM,SSGA,SSSB]","[00]","[""Committee on Armed Services"",""Committee on Commerce, Science, and Transportation"",""Committee on Homeland Security and Governmental Affairs"",""Committee on Small Business and Entrepreneurship"",""Committee on the Budget""]"
"A000369","M","112","[HSII,HSJU,HSVR]","[00]","[""Committee on Natural Resources"",""Committee on Veterans' Affairs"",""Committee on the Judiciary""]"
"A000369","M","113","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000369","M","114","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000369","M","115","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000369","M","116","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000369","M","117","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000369","M","118","[HSAP,JSLC]","[00]","[""Committee on Appropriations"",""Joint Committee on the Library""]"
"A000369","M","119","[HSAP,HSII]","[00]","[""Committee on Appropriations"",""Committee on Natural Resources""]"
"A000370","F","114","[HSAG,HSED,HSSM]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce"",""Committee on Small Business""]"
"A000370","F","115","[HSAG,HSED,HSSM]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce"",""Committee on Small Business""]"
"A000370","F","116","[HSAG,HSBA,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce"",""Committee on Financial Services""]"
"A000370","F","117","[HSAG,HSBA,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce"",""Committee on Financial Services""]"
"A000370","F","118","[HSAG,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce""]"
"A000370","F","119","[HSAG,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce""]"
