"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"Rep. Larsen, Rick [D-WA-2]","117",24.5666,45.1765,46.7359,0.316592653331499,0.210910483281078,0.387851694900703,0.401239538868876,"prof","Democratic","house of representatives","Committee on Armed Services","Male",59,20,0.206212922682622,"2","WA","L000560"
"Rep. Larsen, Rick [D-WA-2]","118",22.4331,43.7451,42.9468,0.35744957064294,0.205571943444829,0.400870375614088,0.393554931807748,"dom","Democratic","house of representatives","Committee on Transportation and Infrastructure","Male",59,22,0.284934631041143,"2","WA","L000560"
"Rep. Larson, John B. [D-CT-1]","115",18.1428,41.7397,35.0736,0.364503616718312,0.191064933095469,0.439567927107446,0.369366086679964,"dom","Democratic","house of representatives","Committee on Ways and Means","Male",76,18,0.392761246826597,"1","CT","L000557"
"Rep. Latta, Robert E. [R-OH-5]","115",17.7123,41.269,36.7255,0.38393513631102,0.185069708200418,0.431205534443468,0.383732071414466,"dom","Republican","house of representatives","Committee on Energy and Commerce","Male",68,10,0.807798495330992,"5","OH","L000566"
"Rep. Latta, Robert E. [R-OH-5]","116",18.4399,44.0235,38.8263,0.429959638736071,0.1820516263301,0.434630869567793,0.383320465912524,"dom","Republican","house of representatives","Committee on Energy and Commerce","Male",68,12,0.769893753767823,"5","OH","L000566"
"Rep. Latta, Robert E. [R-OH-5]","117",24.8029,45.9036,47.2676,0.361791574972885,0.210240748369553,0.389099952701362,0.400661841866584,"prof","Republican","house of representatives","Committee on Energy and Commerce","Male",68,14,0.625545678482691,"5","OH","L000566"
"Rep. Latta, Robert E. [R-OH-5]","118",21.4181,47.494,43.5115,0.3256562999415,0.19051215134162,0.422455031763737,0.387031037911901,"dom","Republican","house of representatives","Committee on Energy and Commerce","Male",68,16,0.597181841641422,"5","OH","L000566"
"Rep. Lawler, Michael [R-NY-17]","118",21.4201,42.131,45.1277,0.401303065560496,0.197095659038984,0.387665660336386,0.415239600768136,"prof","Republican","house of representatives","Committee on Financial Services","Male",38,0,0.769422694969519,"17","NY","L000599"
"Rep. Lawson, Al, Jr. [D-FL-5]","116",17.9388,40.1042,32.5332,0.420794410150911,0.19805158959729,0.442766548460747,0.359179653861271,"dom","Democratic","house of representatives","Committee on Agriculture","Male",76,2,0.337153331600458,"5","FL","L000586"
"Rep. Lee, Barbara [D-CA-12]","115",27.9515,35.5259,48.2043,0.325026110901961,0.250278918423301,0.318100417795622,0.431623349993822,"prof","Democratic","house of representatives","Committee on Appropriations","Female",78,20,0.00993149530042076,"13","CA","L000551"
"Rep. Lee, Barbara [D-CA-12]","116",53.1685,39.2873,73.0088,0.211449220017828,0.321328355836623,0.237436141968649,0.441234897836215,"prof","Democratic","house of representatives","Committee on Appropriations","Female",78,22,0,"13","CA","L000551"
"Rep. Lee, Barbara [D-CA-12]","117",65.7659,35.6308,81.0966,0.141027780203322,0.360374128598623,0.195244321164491,0.444381002271863,"prof","Democratic","house of representatives","Committee on Appropriations","Female",78,24,0.0219191918805206,"13","CA","L000551"
"Rep. Lee, Barbara [D-CA-12]","118",65.1351,35.4579,79.1514,0.0743281247808046,0.362375837716404,0.197268235040162,0.440354814553538,"prof","Democratic","house of representatives","Committee on Appropriations","Female",78,26,0.005388017833014,"12","CA","L000551"
"Rep. Lee, Laurel M. [R-FL-15]","118",23.814,42.5155,45.4308,0.369398710840873,0.213080268824372,0.380415476996833,0.406500675103144,"prof","Republican","house of representatives","Committee on the Judiciary","Female",50,0,0.62511851951768,"15","FL","L000597"
"Rep. Lee, Susie [D-NV-3]","116",28.7606,40.4596,49.3728,0.406876109469868,0.242515156881098,0.34116347507863,0.416321368040272,"prof","Democratic","house of representatives","Committee on Education and the Workforce","Female",58,0,0.405918229001869,"3","NV","L000590"
"Rep. Lee, Susie [D-NV-3]","118",26.0687,40.5933,49.6622,0.364977958858884,0.224102877548792,0.348965438982435,0.426927385155517,"prof","Democratic","house of representatives","Committee on Natural Resources","Female",58,4,0.483587061828552,"3","NV","L000590"
"Rep. Leger Fernandez, Teresa [D-NM-3]","117",25.0291,42.2893,48.6917,0.303120364635872,0.215748388509326,0.364529620569155,0.419717680970532,"prof","Democratic","house of representatives","Joint Committee on Printing","Female",65,0,0.176043592419597,"3","NM","L000273"
"Rep. Leger Fernandez, Teresa [D-NM-3]","118",23.7795,42.5972,47.1896,0.384168244888852,0.209389069449422,0.375087283969424,0.41552540767007,"prof","Democratic","house of representatives","Committee on Natural Resources","Female",65,2,0.256582913709165,"3","NM","L000273"
"Rep. Lesko, Debbie [R-AZ-8]","116",17.5592,47.0164,40.2604,0.409101348202254,0.167491603576242,0.448474431089232,0.384031103730292,"dom","Republican","house of representatives","Committee on Homeland Security","Female",66,1,0.913808149621568,"8","AZ","L000589"
"Rep. Lesko, Debbie [R-AZ-8]","117",25.7196,45.6316,46.6856,0.338127022427592,0.217893835253771,0.386586273999829,0.395515654797255,"prof","Republican","house of representatives","Committee on Energy and Commerce","Female",66,3,0.864915420046205,"8","AZ","L000589"
"Rep. Lesko, Debbie [R-AZ-8]","118",20.9183,46.3929,42.8959,0.376526066281782,0.18980934950534,0.420961845401694,0.38923061986137,"dom","Republican","house of representatives","Committee on Energy and Commerce","Female",66,5,0.847943205012423,"8","AZ","L000589"
"Rep. Letlow, Julia [R-LA-5]","117",29.2433,46.2147,49.6734,0.343424377860932,0.23369979997107,0.36932788521552,0.39696831902976,"prof","Republican","house of representatives","Committee on Agriculture","Female",43,0,0.560356225106254,"5","LA","L000595"
"Rep. Levin, Mike [D-CA-49]","116",22.5097,42.5682,46.9557,0.461001546789523,0.200919547206458,0.3799599048141,0.419122333161361,"prof","Democratic","house of representatives","Committee on Natural Resources","Male",46,0,0.275913607896558,"49","CA","L000593"
"Rep. Levin, Mike [D-CA-49]","118",22.0396,41.2351,45.3221,0.40666636017064,0.202949076721484,0.37970859151337,0.41734325260344,"prof","Democratic","house of representatives","Committee on Natural Resources","Male",46,4,0.266539031343276,"49","CA","L000593"
"Rep. Lewis, Jason [R-MN-2]","115",25.0966,38.2988,38.5964,0.391785285291262,0.246064638466388,0.375508251145434,0.37842612991816,"prof","Republican","house of representatives",NA,"Male",69,0,0.652624334955179,"2","MN","L000587"
"Rep. Lieu, Ted [D-CA-36]","115",26.9049,37.0145,43.024,0.385564073965841,0.251579566482988,0.346111372411143,0.402304385757392,"prof","Democratic","house of representatives","Committee on Foreign Affairs","Male",55,2,0.245719457612155,"33","CA","L000582"
"Rep. Lieu, Ted [D-CA-36]","116",21.59,51.98,45.6419,0.323887477886373,0.181106384692107,0.436031027155892,0.382864265839679,"dom","Democratic","house of representatives","Committee on Foreign Affairs","Male",55,4,0.227069024410123,"33","CA","L000582"
"Rep. Lieu, Ted [D-CA-36]","117",26.243,46.492,46.7899,0.280155767859447,0.219561679822965,0.388974645365595,0.391467021405653,"prof","Democratic","house of representatives","Committee on Foreign Affairs","Male",55,6,0.146850779057805,"33","CA","L000582"
